X_ACC,Y_ACC,Z_ACC,X_GYRO,Y_GYRO,Z_GYRO,Label
0.859375,-0.06591796875,-0.441162109375,-2.1015625,-0.875,0.734375,1
0.864990234375,-0.064208984375,-0.448974609375,-1.1328125,0.84375,0.6171875,1
0.85986328125,-0.06640625,-0.451171875,-1.2109375,-0.703125,0.671875,1
0.861328125,-0.063720703125,-0.446533203125,-1.03125,0.703125,-0.7421875,1
0.939208984375,0.006103515625,-0.52392578125,-2.9609375,0.3828125,0.6171875,1
0.901123046875,-0.025390625,-0.4169921875,-0.5078125,2.25,6.765625,1
0.86376953125,-0.063232421875,-0.46728515625,-13.734375,11.6875,-5.4296875,1
0.956787109375,-0.0068359375,-0.46630859375,-9.7734375,-21.953125,2.5078125,1
0.862548828125,0.0810546875,-0.413818359375,-10.65625,0.21875,5.9296875,1
0.782958984375,-0.054931640625,-0.373046875,-16.28125,-18.59375,-4.40625,1
0.904052734375,-0.15576171875,-0.5595703125,-10.75,-3.734375,6.3984375,1
0.801513671875,-0.168212890625,-0.481689453125,-5.515625,6.984375,-2.0703125,1
0.839111328125,-0.120849609375,-0.502197265625,-1.109375,14.0625,0.7578125,1
0.7451171875,-0.16748046875,-0.460693359375,16.953125,-11.8125,-20.2734375,1
0.669921875,-0.337646484375,-0.423095703125,28.4609375,-32.2734375,-13.5703125,1
0.346435546875,0.0908203125,-0.433837890625,46.265625,-64.0546875,15.4765625,1
0.233642578125,-0.110107421875,-0.399169921875,4.796875,-159.109375,91.0703125,1
2.6865234375,0.6259765625,-1.11376953125,-132.296875,-86.515625,87.46875,1
-1.567138671875,-0.85302734375,-4.3486328125,-256.0,253.9921875,-187.9453125,1
-0.033203125,0.07666015625,-0.72509765625,-4.953125,11.5859375,-8.6640625,1
-0.158203125,0.05078125,-0.937744140625,-6.875,3.6171875,-0.671875,1
-0.20654296875,0.047607421875,-0.882080078125,-4.890625,-4.1796875,0.765625,1
-0.2119140625,0.03564453125,-0.87744140625,-0.4375,2.6875,0.078125,1
-0.206298828125,0.0498046875,-0.81591796875,-4.3046875,-4.796875,-0.9375,1
-0.2177734375,0.050537109375,-0.947998046875,-4.3671875,-4.015625,0.6796875,1
-0.215087890625,0.05078125,-0.8583984375,0.0078125,0.6640625,0.9140625,1
-0.21728515625,0.05615234375,-0.947509765625,-2.8125,0.8671875,0.890625,1
-0.21142578125,0.050048828125,-0.858154296875,-3.1015625,-0.8125,0.859375,1
-0.20703125,0.049072265625,-0.86083984375,-1.140625,-0.6796875,0.7109375,1
-0.2138671875,0.04833984375,-0.872802734375,-2.140625,-0.75,0.65625,1
-0.2099609375,0.0498046875,-0.853759765625,-1.4140625,0.859375,0.5859375,1
-0.21630859375,0.047119140625,-0.858642578125,-1.1953125,0.3046875,0.890625,1
-0.205810546875,0.045166015625,-0.85986328125,-2.8671875,-0.6171875,-1.0,1
-0.209228515625,0.046875,-0.862548828125,-2.703125,0.4140625,0.7890625,1
-0.207275390625,0.0498046875,-0.86181640625,-1.1640625,0.5703125,0.4296875,1
-0.20947265625,0.04833984375,-0.866455078125,-2.8671875,0.9296875,0.8984375,1
-0.2119140625,0.044677734375,-0.8583984375,-2.9140625,-0.9140625,0.8359375,1
-0.211669921875,0.0478515625,-0.853515625,-2.640625,0.53125,0.7109375,1
-0.212158203125,0.04736328125,-0.8642578125,-2.7890625,-0.7734375,0.78125,1
-0.2119140625,0.048583984375,-0.85986328125,-2.7109375,0.9453125,-0.9296875,1
-0.211181640625,0.0498046875,-0.86865234375,-2.7578125,0.8046875,0.75,1
-0.21142578125,0.046875,-0.856689453125,-2.9765625,0.8671875,0.8515625,1
-0.212646484375,0.052490234375,-0.8623046875,-2.71875,-0.71875,-0.8359375,1
-0.2138671875,0.048095703125,-0.861328125,-2.9453125,0.96875,0.796875,1
-0.21337890625,0.050048828125,-0.86181640625,-2.953125,-0.515625,0.765625,1
-0.212158203125,0.051513671875,-0.85986328125,-2.9765625,-0.7421875,0.734375,1
-0.211669921875,0.048828125,-0.8544921875,-1.1796875,-0.8125,0.90625,1
-0.2099609375,0.049072265625,-0.862548828125,-1.234375,-0.671875,0.9296875,1
-0.21142578125,0.044677734375,-0.859375,-2.8828125,-0.8125,0.9765625,1
-0.212646484375,0.04541015625,-0.861083984375,-2.9609375,-0.515625,0.8125,1
